Hobby-name
Drawing and painting
Playing piano
Playing guitar
Playing violin
Playing flute
Playing drums
Dancing
Reading books
Writing stories
Board games 
Card games
Gardening
Cooking
Backing
Building with Lego
Collecting stamps
Collecting coins
Collecting cards
Photography
Learning magic tricks
Soccer
Basketball
Swimming
Volleyball
Tennis
Acting
Singing
Puppetry
Birdwatching or nature exploration
Science experiments
Playing video games
Origami
Learning a new language
